"id","sellerId","name","category","price","stock","description","image","createdAt"
"prd_014","sel_05","Silver Anklet Pair","Jewelry","999","24","Traditional sterling silver anklets with tiny bells.","assets/products/default-jewelry.jpg","2025-03-01"
"prd_015","sel_06","Whole Wheat Sourdough Loaf","Baked Goods","299","18","Naturally leavened whole wheat sourdough baked fresh to order.","assets/products/default-baked-goods.jpg","2025-03-03"
"prd_016","sel_06","Ragi Millet Cookies","Baked Goods","199","30","Crunchy finger millet cookies sweetened with jaggery.","assets/products/default-baked-goods.jpg","2025-03-05"
"prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","20","Moist banana bread loaded with roasted walnuts.","assets/products/default-baked-goods.jpg","2025-03-07"
"prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","28","Hand-poured soy wax candle scented with pure sandalwood oil.","assets/products/default-home-and-decor.jpg","2025-03-09"
"prd_019","sel_07","Jasmine & Vetiver Candle Duo","Home & Decor","649","22","A pair of soy candles in jasmine and vetiver scents, in reusable jars.","assets/products/default-home-and-decor.jpg","2025-03-11"
"prd_020","sel_08","Punjabi Mixed Vegetable Achaar","Food","279","32","Spicy mixed vegetable pickle made the traditional Punjabi way.","assets/products/default-food.jpg","2025-03-13"
"prd_021","sel_08","Homemade Papad Pack","Food","149","45","Sun-dried lentil papad, pack of 20, ready to fry or roast.","assets/products/default-food.jpg","2025-03-15"
"prd_022","sel_08","Rajma Masala Mix","Food","189","38","Ready-to-cook kidney bean curry spice mix, just add rajma and tomatoes.","assets/products/default-food.jpg","2025-03-17"
"prd_023","sel_09","Coir Door Mat","Handicrafts","349","26","Durable natural coir doormat, handwoven by a women's self-help collective.","assets/products/default-handicrafts.jpg","2025-03-19"
"prd_024","sel_09","Jute Storage Basket","Handicrafts","549","19","Round jute storage basket with cotton handles, great for laundry or toys.","assets/products/default-handicrafts.jpg","2025-03-21"
"prd_025","sel_10","Block-Printed Cotton Saree","Clothing","2199","8","Hand block-printed cotton saree using natural indigo dye.","assets/products/default-clothing.jpg","2025-03-23"
"prd_026","sel_10","Block-Printed Cushion Covers","Home & Decor","599","24","Set of two hand block-printed cushion covers in earthy tones.","assets/products/default-home-and-decor.jpg","2025-03-25"
"prd_027","sel_10","Block-Printed Cotton Dupatta","Clothing","749","20","Lightweight cotton dupatta with hand block printing.","assets/products/default-clothing.jpg","2025-03-27"
"prd_028","sel_11","Coconut & Lavender Soap Bar","Beauty","199","40","Cold-process soap made with virgin coconut oil and dried lavender.","assets/products/default-beauty.jpg","2025-03-29"
"prd_029","sel_11","Neem & Tulsi Soap Bar","Beauty","179","42","Ayurvedic soap bar with neem and tulsi extracts for clear skin.","assets/products/default-beauty.jpg","2025-03-31"
"prd_030","sel_11","Rose & Shea Butter Soap Set","Beauty","449","25","Set of three moisturizing soap bars with rose petals and shea butter.","assets/products/default-beauty.jpg","2025-04-02"
"prd_031","sel_12","Terracotta Jhumka Earrings","Jewelry","349","30","Lightweight terracotta jhumka earrings hand-painted in Bengal folk style.","assets/products/default-jewelry.jpg","2025-04-04"
"prd_032","sel_12","Terracotta Wall Hanging","Handicrafts","699","16","Decorative terracotta wall hanging inspired by traditional Bengal motifs.","assets/products/default-handicrafts.jpg","2025-04-06"
"prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","24","Handknotted cotton macrame plant hanger, fits pots up to 8 inches.","assets/products/default-home-and-decor.jpg","2025-04-08"
"prd_034","sel_13","Macrame Wall Hanging","Home & Decor","899","14","Large handknotted macrame wall hanging with wooden dowel.","assets/products/default-home-and-decor.jpg","2025-04-10"
"prd_035","sel_14","South Indian Filter Coffee Powder","Food","349","34","Single-origin coffee and chicory blend, roasted and ground in small batches.","assets/products/default-food.jpg","2025-04-12"
"prd_036","sel_14","Filter Coffee Gift Set","Food","799","15","Filter coffee powder with a traditional stainless steel filter.","assets/products/default-food.jpg","2025-04-14"
"prd_037","sel_15","Hand-Knitted Wool Scarf","Clothing","799","20","Warm hand-knitted scarf made from soft merino wool blend.","assets/products/default-clothing.jpg","2025-04-16"
"prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","18","Cozy hand-knitted sweater for infants, available in pastel shades.","assets/products/default-clothing.jpg","2025-04-18"
"prd_039","sel_16","Brass Diya Set of 5","Handicrafts","599","28","Traditional brass diyas, hand-cast and polished, set of five.","assets/products/default-handicrafts.jpg","2025-04-20"
"prd_040","sel_16","Bell-Metal Serving Bowl","Handicrafts","1099","12","Traditional Thanjavur bell-metal serving bowl, said to purify food.","assets/products/default-handicrafts.jpg","2025-04-22"
"prd_041","sel_17","Chikankari Cotton Kurta Set","Clothing","2199","10","Two-piece chikankari kurta and palazzo set, hand embroidered.","assets/products/default-clothing.jpg","2025-04-24"
"prd_042","sel_17","Chikankari Handkerchief Set","Other","299","35","Set of three cotton handkerchiefs with delicate chikankari edging.","assets/products/default-other.jpg","2025-04-26"
"prd_043","sel_18","Warli Art Canvas Painting","Other","899","12","Hand-painted Warli tribal art on canvas, ready to frame.","assets/products/default-other.jpg","2025-04-28"
"prd_044","sel_18","Warli Art Tote Bag","Other","399","25","Canvas tote bag hand-painted with traditional Warli motifs.","assets/products/default-other.jpg","2025-04-30"
