"id","orderId","productId","sellerId","productName","category","price","quantity","subtotal"
"ori_0044","ord_0028","prd_004","sel_02","Homemade Mango Pickle","Food","249","2","498"
"ori_0045","ord_0028","prd_026","sel_10","Block-Printed Cushion Covers","Home & Decor","599","1","599"
"ori_0046","ord_0029","prd_012","sel_05","Temple-Design Silver Earrings","Jewelry","1599","2","3198"
"ori_0047","ord_0030","prd_036","sel_14","Filter Coffee Gift Set","Food","799","1","799"
"ori_0048","ord_0030","prd_007","sel_03","Hand-Thrown Ceramic Bowl Set","Handicrafts","1099","3","3297"
"ori_0049","ord_0031","prd_014","sel_05","Silver Anklet Pair","Jewelry","999","2","1998"
"ori_0050","ord_0032","prd_030","sel_11","Rose & Shea Butter Soap Set","Beauty","449","2","898"
"ori_0051","ord_0033","prd_004","sel_02","Homemade Mango Pickle","Food","249","3","747"
"ori_0052","ord_0034","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","3","1347"
"ori_0053","ord_0035","prd_039","sel_16","Brass Diya Set of 5","Handicrafts","599","1","599"
"ori_0054","ord_0036","prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","3","2697"
"ori_0055","ord_0037","prd_043","sel_18","Warli Art Canvas Painting","Other","899","3","2697"
"ori_0056","ord_0038","prd_020","sel_08","Punjabi Mixed Vegetable Achaar","Food","279","2","558"
"ori_0057","ord_0038","prd_030","sel_11","Rose & Shea Butter Soap Set","Beauty","449","1","449"
"ori_0058","ord_0039","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","1","249"
"ori_0059","ord_0040","prd_035","sel_14","South Indian Filter Coffee Powder","Food","349","3","1047"
"ori_0060","ord_0041","prd_043","sel_18","Warli Art Canvas Painting","Other","899","1","899"
"ori_0061","ord_0042","prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","2","798"
"ori_0062","ord_0043","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","2","498"
"ori_0063","ord_0043","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","2","898"
"ori_0064","ord_0044","prd_009","sel_03","Terracotta Planter Trio","Handicrafts","799","3","2397"
"ori_0065","ord_0045","prd_001","sel_01","Handwoven Cotton Shawl","Clothing","1299","1","1299"
"ori_0066","ord_0046","prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","1","649"
"ori_0067","ord_0046","prd_036","sel_14","Filter Coffee Gift Set","Food","799","2","1598"
"ori_0068","ord_0047","prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","3","2697"
"ori_0069","ord_0047","prd_023","sel_09","Coir Door Mat","Handicrafts","349","1","349"
"ori_0070","ord_0047","prd_014","sel_05","Silver Anklet Pair","Jewelry","999","3","2997"
"ori_0071","ord_0048","prd_016","sel_06","Ragi Millet Cookies","Baked Goods","199","1","199"
"ori_0072","ord_0049","prd_027","sel_10","Block-Printed Cotton Dupatta","Clothing","749","2","1498"
"ori_0073","ord_0049","prd_043","sel_18","Warli Art Canvas Painting","Other","899","1","899"
"ori_0074","ord_0049","prd_016","sel_06","Ragi Millet Cookies","Baked Goods","199","3","597"
"ori_0075","ord_0050","prd_030","sel_11","Rose & Shea Butter Soap Set","Beauty","449","2","898"
"ori_0076","ord_0051","prd_022","sel_08","Rajma Masala Mix","Food","189","2","378"
"ori_0077","ord_0052","prd_035","sel_14","South Indian Filter Coffee Powder","Food","349","2","698"
"ori_0078","ord_0053","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","3","747"
"ori_0079","ord_0053","prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","2","1798"
"ori_0080","ord_0053","prd_007","sel_03","Hand-Thrown Ceramic Bowl Set","Handicrafts","1099","2","2198"
"ori_0081","ord_0054","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","1","1299"
"ori_0082","ord_0054","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","3","747"
"ori_0083","ord_0055","prd_043","sel_18","Warli Art Canvas Painting","Other","899","2","1798"
"ori_0084","ord_0055","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","2","2598"
"ori_0085","ord_0056","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","3","1347"
"ori_0086","ord_0056","prd_020","sel_08","Punjabi Mixed Vegetable Achaar","Food","279","2","558"
"ori_0087","ord_0057","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","2","2598"
"ori_0088","ord_0058","prd_036","sel_14","Filter Coffee Gift Set","Food","799","1","799"
"ori_0089","ord_0059","prd_042","sel_17","Chikankari Handkerchief Set","Other","299","2","598"
"ori_0090","ord_0060","prd_011","sel_04","Embroidered Silk Dupatta","Clothing","1499","3","4497"
"ori_0091","ord_0061","prd_006","sel_02","Coconut Chutney Powder","Food","179","3","537"
"ori_0092","ord_0061","prd_016","sel_06","Ragi Millet Cookies","Baked Goods","199","2","398"
"ori_0093","ord_0062","prd_031","sel_12","Terracotta Jhumka Earrings","Jewelry","349","3","1047"
"ori_0094","ord_0063","prd_025","sel_10","Block-Printed Cotton Saree","Clothing","2199","2","4398"
"ori_0095","ord_0064","prd_007","sel_03","Hand-Thrown Ceramic Bowl Set","Handicrafts","1099","2","2198"
"ori_0096","ord_0065","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","2","898"
"ori_0097","ord_0066","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","2","898"
"ori_0098","ord_0067","prd_041","sel_17","Chikankari Cotton Kurta Set","Clothing","2199","3","6597"
"ori_0099","ord_0067","prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","2","798"
"ori_0100","ord_0068","prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","2","798"
"ori_0101","ord_0069","prd_010","sel_04","Chikankari Embroidered Kurta","Clothing","1899","3","5697"
"ori_0102","ord_0070","prd_027","sel_10","Block-Printed Cotton Dupatta","Clothing","749","1","749"
"ori_0103","ord_0071","prd_002","sel_01","Block-Printed Table Runner","Home & Decor","649","2","1298"
"ori_0104","ord_0071","prd_037","sel_15","Hand-Knitted Wool Scarf","Clothing","799","1","799"
"ori_0105","ord_0071","prd_025","sel_10","Block-Printed Cotton Saree","Clothing","2199","2","4398"
"ori_0106","ord_0072","prd_039","sel_16","Brass Diya Set of 5","Handicrafts","599","2","1198"
"ori_0107","ord_0072","prd_015","sel_06","Whole Wheat Sourdough Loaf","Baked Goods","299","1","299"
"ori_0108","ord_0073","prd_044","sel_18","Warli Art Tote Bag","Other","399","2","798"
"ori_0109","ord_0074","prd_026","sel_10","Block-Printed Cushion Covers","Home & Decor","599","3","1797"
"ori_0110","ord_0075","prd_004","sel_02","Homemade Mango Pickle","Food","249","2","498"
"ori_0111","ord_0076","prd_025","sel_10","Block-Printed Cotton Saree","Clothing","2199","2","4398"
"ori_0112","ord_0077","prd_004","sel_02","Homemade Mango Pickle","Food","249","1","249"
"ori_0113","ord_0077","prd_023","sel_09","Coir Door Mat","Handicrafts","349","3","1047"
"ori_0114","ord_0078","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","1","1299"
"ori_0115","ord_0078","prd_002","sel_01","Block-Printed Table Runner","Home & Decor","649","1","649"
"ori_0116","ord_0078","prd_040","sel_16","Bell-Metal Serving Bowl","Handicrafts","1099","1","1099"
"ori_0117","ord_0079","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","2","498"
"ori_0118","ord_0080","prd_020","sel_08","Punjabi Mixed Vegetable Achaar","Food","279","1","279"
"ori_0119","ord_0081","prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","3","1947"
"ori_0120","ord_0082","prd_037","sel_15","Hand-Knitted Wool Scarf","Clothing","799","2","1598"
"ori_0121","ord_0082","prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","3","2697"
"ori_0122","ord_0083","prd_001","sel_01","Handwoven Cotton Shawl","Clothing","1299","2","2598"
"ori_0123","ord_0083","prd_027","sel_10","Block-Printed Cotton Dupatta","Clothing","749","1","749"
"ori_0124","ord_0084","prd_034","sel_13","Macrame Wall Hanging","Home & Decor","899","3","2697"
"ori_0125","ord_0085","prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","2","1298"
"ori_0126","ord_0085","prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","1","399"
"ori_0127","ord_0086","prd_040","sel_16","Bell-Metal Serving Bowl","Handicrafts","1099","3","3297"
"ori_0128","ord_0087","prd_032","sel_12","Terracotta Wall Hanging","Handicrafts","699","1","699"
"ori_0129","ord_0088","prd_018","sel_07","Sandalwood Soy Candle","Home & Decor","399","3","1197"
"ori_0130","ord_0089","prd_032","sel_12","Terracotta Wall Hanging","Handicrafts","699","1","699"
"ori_0131","ord_0089","prd_036","sel_14","Filter Coffee Gift Set","Food","799","3","2397"
"ori_0132","ord_0090","prd_019","sel_07","Jasmine & Vetiver Candle Duo","Home & Decor","649","1","649"
"ori_0133","ord_0091","prd_031","sel_12","Terracotta Jhumka Earrings","Jewelry","349","3","1047"
"ori_0134","ord_0092","prd_020","sel_08","Punjabi Mixed Vegetable Achaar","Food","279","2","558"
"ori_0135","ord_0093","prd_012","sel_05","Temple-Design Silver Earrings","Jewelry","1599","1","1599"
"ori_0136","ord_0093","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","3","3897"
"ori_0137","ord_0094","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","2","2598"
"ori_0138","ord_0094","prd_019","sel_07","Jasmine & Vetiver Candle Duo","Home & Decor","649","1","649"
"ori_0139","ord_0094","prd_015","sel_06","Whole Wheat Sourdough Loaf","Baked Goods","299","2","598"
"ori_0140","ord_0095","prd_036","sel_14","Filter Coffee Gift Set","Food","799","3","2397"
"ori_0141","ord_0095","prd_019","sel_07","Jasmine & Vetiver Candle Duo","Home & Decor","649","2","1298"
"ori_0142","ord_0095","prd_009","sel_03","Terracotta Planter Trio","Handicrafts","799","1","799"
"ori_0143","ord_0096","prd_012","sel_05","Temple-Design Silver Earrings","Jewelry","1599","1","1599"
"ori_0144","ord_0097","prd_037","sel_15","Hand-Knitted Wool Scarf","Clothing","799","3","2397"
"ori_0145","ord_0098","prd_006","sel_02","Coconut Chutney Powder","Food","179","3","537"
"ori_0146","ord_0098","prd_016","sel_06","Ragi Millet Cookies","Baked Goods","199","2","398"
"ori_0147","ord_0098","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","3","1347"
"ori_0148","ord_0099","prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","2","1298"
"ori_0149","ord_0100","prd_014","sel_05","Silver Anklet Pair","Jewelry","999","3","2997"
